Species,Order,Family,Genus,Main biogeographic region,Microhabitat,Habitat type,Minimal elevation (m),Maximum elevation (m),Diet ,Active time,Foraging mode,Maximum Longevity (years),Maximum body mass (g),"Maximum female length (""SVL"", mm)/straight carapace length for turtles (""SCL"", mm)","Maximum male length (""SVL"", mm)/straight carapace length for turtles (""SCL"", mm)","Maximum juvenile length (""SVL"", mm)/straight carapace length for turtles (""SCL"", mm)",Hatchling/neonate mass (g),Reproductive mode,Mean number of offspring per litter or number of eggs per clutch,Smallest clutch size,Largest clutch size,Number of litters or clutches produced per year,Egg length (mm),Egg width (mm),Mean Tb,Minimum Tb,Maximum Tb
Acanthodactylus schreiberi,Squamata,Lacertidae,Acanthodactylus,Saharo-Sindian,Terrestrial,NA,0,1350,Carnivorous,Diurnal,ACT,NA,18.6,69.4,NA,35.8,0.7,oviparous,3.0,1,8,2.5,NA,NA,36.0,NA,NA
Acanthodactylus scutellatus,Squamata,Lacertidae,Acanthodactylus,Saharo-Sindian,Terrestrial,Desert/Grassland/Shrubland,0,950,Carnivorous,Diurnal,Mixed,9.3,14.1,52.6,NA,24.3,NA,oviparous,2.9,1,6,2.5,NA,NA,36.0,NA,NA
Acanthodactylus spinicauda,Squamata,Lacertidae,Acanthodactylus,Saharo-Sindian,Terrestrial,Desert/Shrubland,900,1000,NA,Diurnal,NA,NA,4.2,52,NA,NA,NA,oviparous,4.0,4,4,2.0,NA,NA,NA,NA,NA
Acanthodactylus taghitensis,Squamata,Lacertidae,Acanthodactylus,Saharo-Sindian,Terrestrial,Desert/Shrubland,NA,NA,NA,Diurnal,NA,NA,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthodactylus tilburyi,Squamata,Lacertidae,Acanthodactylus,Saharo-Sindian,Terrestrial,Desert,NA,NA,Carnivorous,Diurnal,ACT,NA,6.4,56.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthodactylus tristrami,Squamata,Lacertidae,Acanthodactylus,Saharo-Sindian,Terrestrial,Shrubland,2000,3000,Carnivorous,Diurnal,NA,NA,19.5,75.5,NA,NA,NA,oviparous,4.0,4,4,NA,NA,NA,NA,NA,NA
Acanthodactylus yemenicus,Squamata,Lacertidae,Acanthodactylus,Saharo-Sindian,NA,Desert/Rocky,NA,NA,NA,Diurnal,NA,NA,4.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthodactylus zagrosicus,Squamata,Lacertidae,Acanthodactylus,Saharo-Sindian,Terrestrial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthophis antarcticus,Squamata,Elapidae,Acanthophis,Australo-Pacific,Terrestrial,Forest/Grassland/Savanna/Shrubland,9,927,Carnivorous,Nocturnal,AMB,9.4,252.3,439,579,15.6,NA,ovoviviparous,7.9,3,30,0.5,NA,NA,27.2,23.4,38.5
Acanthophis cryptamydros,Squamata,Elapidae,Acanthophis,Australo-Pacific,Terrestrial,Savanna/Shrubland,NA,NA,Carnivorous,NA,AMB,NA,69.2,NA,NA,NA,NA,viviparous,NA,NA,NA,NA,No,No,NA,NA,NA
Acanthophis hawkei,Squamata,Elapidae,Acanthophis,Australo-Pacific,Terrestrial,Grassland,NA,NA,Carnivorous,NA,AMB,15.5,391.4,NA,NA,NA,NA,viviparous,10.0,5,15,NA,No,No,NA,NA,NA
Acanthophis laevis,Squamata,Elapidae,Acanthophis,Australo-Pacific,Terrestrial,Forest/Grassland/Savanna,0,2000,Carnivorous,Nocturnal,AMB,7.3,317.4,439,579,15.6,NA,viviparous,19.5,5,20,NA,No,No,NA,NA,NA
Acanthophis praelongus,Squamata,Elapidae,Acanthophis,Australo-Pacific,Terrestrial,Forest/Shrubland,9,927,Carnivorous,Nocturnal,AMB,15.0,106.9,NA,NA,NA,NA,viviparous,23.1,NA,NA,NA,No,No,NA,NA,NA
Acanthophis pyrrhus,Squamata,Elapidae,Acanthophis,Australo-Pacific,Terrestrial,Desert/Savanna/Shrubland,0,900,Carnivorous,Nocturnal,AMB,3.5,109.9,439,579,12.9,NA,viviparous,11.0,NA,NA,NA,No,No,NA,NA,NA
Acanthophis rugosus,Squamata,Elapidae,Acanthophis,Australo-Pacific,Terrestrial,Forest/Grassland/Savanna,9,927,Carnivorous,Nocturnal,AMB,15.5,73.8,439,579,15.6,NA,viviparous,19.5,NA,NA,NA,No,No,NA,NA,NA
Acanthophis wellsi,Squamata,Elapidae,Acanthophis,Australo-Pacific,Terrestrial,Grassland/Rocky/Shrubland,7,922,Carnivorous,Cathemeral,AMB,NA,52.3,NA,NA,NA,NA,viviparous,8.5,3,12,NA,No,No,NA,NA,NA
Acanthosaura armata,Squamata,Agamidae,Acanthosaura,Oriental,Arboreal/Terrestrial,Forest,0,850,Carnivorous,Diurnal,AMB,2.1,95.5,123,NA,30,NA,oviparous,14.5,8,21,NA,NA,NA,NA,NA,NA
Acanthosaura aurantiacrista,Squamata,Agamidae,Acanthosaura,Oriental,Arboreal/Terrestrial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthosaura bintangensis,Squamata,Agamidae,Acanthosaura,Oriental,Arboreal,Forest,NA,NA,NA,Diurnal,NA,NA,99.3,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthosaura brachypoda,Squamata,Agamidae,Acanthosaura,Oriental,Arboreal,Forest,NA,NA,NA,Diurnal,NA,NA,54.4,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthosaura capra,Squamata,Agamidae,Acanthosaura,Oriental,Arboreal/Terrestrial,Forest,500,550,Carnivorous,Diurnal,NA,8.0,95.5,125.9,NA,NA,NA,oviparous,19.5,19,20,NA,NA,NA,NA,NA,NA
Acanthosaura cardamomensis,Squamata,Agamidae,Acanthosaura,Oriental,Arboreal/Terrestrial,Forest,400,1400,NA,Cathemeral,NA,NA,117.5,124.9,NA,NA,NA,oviparous,20.5,18,23,NA,NA,NA,NA,NA,NA
Acanthosaura coronata,Squamata,Agamidae,Acanthosaura,Oriental,Arboreal/Terrestrial,Forest,480,700,Carnivorous,Diurnal,NA,NA,24.0,90,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthosaura crucigera,Squamata,Agamidae,Acanthosaura,Oriental,Arboreal/Terrestrial,Forest,200,1800,Carnivorous,Diurnal,NA,8.0,128.8,136.5,NA,NA,NA,oviparous,14.0,8,20,NA,NA,NA,NA,NA,NA
Acanthosaura lepidogaster,Squamata,Agamidae,Acanthosaura,Oriental,Arboreal/Terrestrial,Forest,200,1650,Carnivorous,Diurnal,NA,NA,45.7,90.4,NA,26,NA,oviparous,13.0,5,22,NA,NA,NA,NA,NA,NA
Acanthosaura liui,Squamata,Agamidae,Acanthosaura,Oriental,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthosaura longicaudata,Squamata,Agamidae,Acanthosaura,Oriental,Arboreal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthosaura meridiona,Squamata,Agamidae,Acanthosaura,Oriental,Arboreal/Saxicolous/Terrestrial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthosaura murphyi,Squamata,Agamidae,Acanthosaura,Oriental,Arboreal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.0,NA,NA,NA,NA,NA,NA,NA,NA
Acanthosaura nataliae,Squamata,Agamidae,Acanthosaura,Oriental,Arboreal,Forest,350,1400,Omnivorous,Diurnal,NA,NA,138.0,136.1,NA,NA,NA,oviparous,13.0,10,16,NA,NA,NA,NA,NA,NA
Acanthosaura phongdienensis,Squamata,Agamidae,Acanthosaura,Oriental,Arboreal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthosaura phuketensis,Squamata,Agamidae,Acanthosaura,Oriental,Arboreal/Terrestrial,Forest,NA,NA,Carnivorous,Diurnal,NA,NA,NA,110.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthosaura prasina,Squamata,Agamidae,Acanthosaura,Oriental,Arboreal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthosaura rubrilabris,Squamata,Agamidae,Acanthosaura,Oriental,Arboreal/Terrestrial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthosaura titiwangsaensis,Squamata,Agamidae,Acanthosaura,Oriental,Arboreal/Terrestrial,Forest,NA,NA,NA,Diurnal,ACT,NA,117.9,131.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthosaura tongbiguanensis,Squamata,Agamidae,Acanthosaura,Oriental,Arboreal/Terrestrial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Achalinus ater,Squamata,Xenodermidae,Achalinus,Oriental,Fossorial,Forest/Rocky,450,900,Carnivorous,Nocturnal,ACT,NA,20.6,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Achalinus dabieshanensis,Squamata,Xenodermidae,Achalinus,Oriental,Terrestrial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Achalinus damingensis,Squamata,Xenodermidae,Achalinus,Oriental,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Achalinus dehuaensis,Squamata,Xenodermidae,Achalinus,Oriental,Terrestrial,Forest,NA,455,Carnivorous,Nocturnal,ACT,NA,NA,NA,NA,NA,NA,viviparous,NA,NA,NA,NA,No,No,NA,NA,NA
Achalinus emilyae,Squamata,Xenodermidae,Achalinus,Oriental,Fossorial,Forest,500,2500,Carnivorous,Diurnal,ACT,NA,29.5,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Achalinus formosanus,Squamata,Xenodermidae,Achalinus,Oriental,Fossorial/Terrestrial,Forest,1000,1990,Carnivorous,Nocturnal,ACT,NA,27.2,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Achalinus hainanus,Squamata,Xenodermidae,Achalinus,Oriental,Fossorial,Caves/Forest/Subterranean,750,800,Carnivorous,Diurnal,ACT,NA,12.0,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Achalinus huangjietangi,Squamata,Xenodermidae,Achalinus,Oriental,Fossorial,Forest,NA,200,NA,NA,ACT,NA,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Achalinus hunanensis,Squamata,Xenodermidae,Achalinus,Oriental,Semi-Aquatic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Achalinus jinggangensis,Squamata,Xenodermidae,Achalinus,Oriental,Fossorial,Forest,940,940,Carnivorous,Nocturnal,ACT,NA,28.7,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Achalinus juliani,Squamata,Xenodermidae,Achalinus,Oriental,NA,Forest,NA,NA,Carnivorous,Nocturnal,NA,NA,12.6,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Achalinus meiguensis,Squamata,Xenodermidae,Achalinus,Oriental,Fossorial,Forest/Grassland/Shrubland,1200,2520,Carnivorous,Diurnal,ACT,NA,26.4,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Achalinus niger,Squamata,Xenodermidae,Achalinus,Oriental,Terrestrial,Caves/Forest/Subterranean,1000,3000,Carnivorous,Nocturnal,ACT,NA,108.8,NA,NA,NA,1.6,oviparous,7.0,NA,NA,NA,NA,NA,NA,NA,NA
Achalinus ningshanensis,Squamata,Xenodermidae,Achalinus,Palearctic,NA,Forest/Grassland/Shrubland,NA,1372,Carnivorous,Diurnal,ACT,NA,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Achalinus panzhihuaensis,Squamata,Xenodermidae,Achalinus,Oriental,Terrestrial,Forest/Grassland/Rocky,1200,2000,NA,Diurnal,ACT,NA,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Achalinus pingbianensis,Squamata,Xenodermidae,Achalinus,Oriental,Fossorial,Forest/Grassland/Shrubland,NA,1968,NA,NA,ACT,NA,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Achalinus quangi,Squamata,Xenodermidae,Achalinus,Oriental,Terrestrial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Achalinus rufescens,Squamata,Xenodermidae,Achalinus,Oriental,Fossorial,Forest,370,1500,Carnivorous,Nocturnal,ACT,NA,27.2,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Achalinus spinalis,Squamata,Xenodermidae,Achalinus,Oriental,Fossorial,Forest,300,2000,Carnivorous,Nocturnal,ACT,10.0,22.0,NA,NA,NA,NA,oviparous,5.0,2,7,NA,NA,NA,NA,NA,NA
Achalinus timi,Squamata,Xenodermidae,Achalinus,Oriental,NA,Forest,NA,1470,NA,NA,NA,NA,1.7,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Achalinus tranganensis,Squamata,Xenodermidae,Achalinus,Oriental,NA,Forest,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,viviparous,NA,NA,NA,NA,No,No,NA,NA,NA
Achalinus vanhoensis,Squamata,Xenodermidae,Achalinus,Oriental,Terrestrial,Forest,NA,1121,Carnivorous,Diurnal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Achalinus werneri,Squamata,Xenodermidae,Achalinus,Oriental,Fossorial,Forest/Grassland/Wetlands,NA,NA,Carnivorous,Nocturnal,NA,NA,44.1,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Achalinus yangdatongi,Squamata,Xenodermidae,Achalinus,Oriental,Terrestrial,Forest/Grassland/Shrubland,NA,1609,NA,NA,ACT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Achalinus yunkaiensis,Squamata,Xenodermidae,Achalinus,Oriental,Fossorial,Forest,900,1500,NA,NA,ACT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Achalinus zugorum,Squamata,Xenodermidae,Achalinus,Oriental,NA,Forest,NA,228,NA,Nocturnal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acontias albigularis,Squamata,Scincidae,Acontias,Afrotropic,Fossorial,Grassland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acontias aurantiacus,Squamata,Scincidae,Acontias,Afrotropic,Fossorial,Savanna,862,1716,Carnivorous,NA,NA,NA,14.1,155,NA,NA,NA,viviparous,NA,NA,NA,NA,No,No,NA,NA,NA
Acontias bicolor,Squamata,Scincidae,Acontias,Afrotropic,Fossorial,Rocky/Savanna,862,1716,NA,NA,NA,NA,13.2,NA,NA,NA,NA,viviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acontias breviceps,Squamata,Scincidae,Acontias,Afrotropic,Fossorial,Grassland,1800,1950,Carnivorous,NA,NA,NA,12.0,NA,NA,NA,NA,viviparous,2.0,2,3,NA,No,No,NA,NA,NA
Acontias cregoi,Squamata,Scincidae,Acontias,Afrotropic,Fossorial,Grassland/Savanna,650,1700,Carnivorous,NA,NA,NA,7.2,NA,NA,NA,NA,viviparous,NA,NA,NA,NA,No,No,NA,NA,NA
Acontias fitzsimonsi,Squamata,Scincidae,Acontias,Afrotropic,Fossorial,Savanna,NA,NA,NA,NA,NA,NA,6.3,NA,NA,NA,NA,viviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acontias gariepensis,Squamata,Scincidae,Acontias,Afrotropic,Fossorial,Savanna,473,896,Carnivorous,Nocturnal,ACT,NA,5.4,121.5,NA,65.3,NA,viviparous,1.0,1,1,NA,No,No,NA,NA,NA
Acontias gracilicauda,Squamata,Scincidae,Acontias,Afrotropic,Fossorial,Grassland/Savanna/Shrubland,0,1600,NA,NA,NA,NA,22.4,178.9,NA,NA,NA,viviparous,2.0,2,2,NA,No,No,NA,NA,NA
Acontias jappi,Squamata,Scincidae,Acontias,Afrotropic,Fossorial,Savanna,NA,NA,NA,NA,NA,NA,10.5,NA,NA,NA,NA,viviparous,4.0,4,4,NA,No,No,NA,NA,NA
Acontias kgalagadi,Squamata,Scincidae,Acontias,Afrotropic,Fossorial,Savanna,980,990,Carnivorous,Nocturnal,NA,NA,10.2,133.5,NA,57,NA,viviparous,1.5,1,3,NA,No,No,NA,NA,NA
Acontias lineatus,Squamata,Scincidae,Acontias,Afrotropic,Fossorial,Desert/Savanna/Shrubland,46,477,Carnivorous,NA,ACT,NA,6.3,141.7,NA,NA,NA,viviparous,1.6,1,3,NA,No,No,NA,NA,NA
Acontias meleagris,Squamata,Scincidae,Acontias,Afrotropic,Fossorial,Shrubland,0,1400,Carnivorous,Cathemeral,NA,3.4,29.5,162.4,NA,79,NA,viviparous,3.0,2,4,NA,No,No,21.8,NA,NA
Acontias namaquensis,Squamata,Scincidae,Acontias,Afrotropic,Cryptic/Fossorial,Shrubland,0,1350,NA,NA,NA,NA,16.6,NA,NA,NA,NA,viviparous,2.5,2,3,NA,No,No,NA,NA,NA
Acontias occidentalis,Squamata,Scincidae,Acontias,Afrotropic,Fossorial/Terrestrial,Grassland/Savanna/Shrubland,471,1633,NA,NA,NA,NA,20.9,NA,NA,NA,NA,viviparous,1.8,NA,NA,NA,NA,NA,NA,NA,NA
Acontias orientalis,Squamata,Scincidae,Acontias,Afrotropic,Fossorial,Savanna/Shrubland,0,1400,NA,NA,NA,NA,12.9,182,NA,NA,NA,viviparous,4.0,NA,NA,NA,NA,NA,NA,NA,NA
Acontias parietalis,Squamata,Scincidae,Acontias,Afrotropic,Fossorial,Forest/Grassland/Savanna,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acontias percivali,Squamata,Scincidae,Acontias,Afrotropic,Fossorial,Savanna/Shrubland,471,1633,Carnivorous,NA,NA,NA,21.9,190.5,NA,NA,NA,viviparous,2.0,1,3,NA,No,No,NA,NA,NA
Acontias plumbeus,Squamata,Scincidae,Acontias,Afrotropic,Fossorial/Terrestrial,Forest/Savanna/Shrubland,0,1500,Carnivorous,Cathemeral,NA,NA,100.0,348.8,NA,NA,NA,viviparous,8.0,2,14,NA,No,No,NA,NA,NA
Acontias richardi,Squamata,Scincidae,Acontias,Afrotropic,Fossorial,Savanna,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,viviparous,2.0,2,2,NA,No,No,NA,NA,NA
Acontias rieppeli,Squamata,Scincidae,Acontias,Afrotropic,Fossorial,Grassland,1600,2000,NA,NA,NA,NA,10.2,169.5,NA,NA,NA,viviparous,2.0,2,2,NA,No,No,NA,NA,NA
Acontias schmitzi,Squamata,Scincidae,Acontias,Afrotropic,Cryptic,Savanna,NA,NA,NA,NA,NA,NA,9.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acontias subtaeniatus,Squamata,Scincidae,Acontias,Afrotropic,Fossorial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,oviparous,1.0,NA,NA,NA,NA,NA,NA,NA,NA
Acontias wakkerstroomensis,Squamata,Scincidae,Acontias,Afrotropic,Cryptic/Fossorial,Grassland,1840,2140,NA,NA,NA,NA,9.5,NA,NA,NA,NA,viviparous,2.0,NA,NA,NA,NA,NA,NA,NA,NA
Acrantophis dumerili,Squamata,Boidae,Acrantophis,Madagascan,Terrestrial,Forest/Grassland,0,1330,Carnivorous,Nocturnal,AMB,26.0,2974.3,NA,NA,460,70.0,ovoviviparous,5.0,6,28,1.0,70.0,65.0,NA,NA,NA
Acrantophis madagascariensis,Squamata,Boidae,Acrantophis,Madagascan,Terrestrial,Forest,NA,NA,Carnivorous,Nocturnal,AMB,28.5,13326.2,1800,3005,610,100.0,ovoviviparous,4.5,2,4,1.0,70.0,40.0,NA,NA,NA
Acratosaura mentalis,Squamata,Gymnophthalmidae,Acratosaura,Neotropic,Terrestrial,Forest/Savanna,240,1120,NA,Diurnal,ACT,NA,4.7,52.5,NA,NA,NA,oviparous,1.6,1,2,NA,NA,NA,NA,NA,NA
Acratosaura spinosa,Squamata,Gymnophthalmidae,Acratosaura,Neotropic,Terrestrial,Savanna,NA,NA,NA,NA,NA,NA,3.3,53,NA,NA,NA,oviparous,6.5,NA,NA,NA,NA,NA,NA,NA,NA
Acritoscincus duperreyi,Squamata,Scincidae,Acritoscincus,Australo-Pacific,Terrestrial,Forest/Grassland/Shrubland,NA,NA,Carnivorous,Diurnal,NA,NA,NA,65.7,NA,25.8,NA,oviparous,5.3,2,11,1.0,NA,NA,29.1,NA,NA
Acritoscincus platynotus,Squamata,Scincidae,Acritoscincus,Australo-Pacific,Terrestrial,Forest/Shrubland,NA,NA,Carnivorous,Diurnal,NA,NA,NA,70.6,NA,26,NA,oviparous,5.3,3,9,NA,NA,NA,NA,NA,NA
Acritoscincus trilineatus,Squamata,Scincidae,Acritoscincus,Australo-Pacific,Terrestrial,Forest/Grassland/Shrubland/Wetlands,NA,NA,Carnivorous,Diurnal,NA,NA,NA,64.3,NA,27,NA,oviparous,5.9,2,10,NA,NA,NA,27.2,NA,NA
Acrochordus arafurae,Squamata,Acrochordidae,Acrochordus,Australo-Pacific,Aquatic,Grassland/Marine Neritic/Wetlands,0,30,Carnivorous,Nocturnal,AMB,10.0,1694.5,NA,NA,36.2,40.0,viviparous,14.0,5,17,1.0,No,No,NA,NA,NA
Acrochordus granulatus,Squamata,Acrochordidae,Acrochordus,Oriental,Aquatic,Marine Neritic/Wetlands,-20,90,Carnivorous,Nocturnal,ACT,5.0,300.7,NA,NA,NA,50.0,ovoviviparous,7.0,6,27,1.0,NA,NA,NA,NA,NA
Acrochordus javanicus,Squamata,Acrochordidae,Acrochordus,Oriental,Aquatic,Marine Neritic/Wetlands,43,272,Carnivorous,Nocturnal,AMB,20.0,2423.1,NA,NA,40,30.0,ovoviviparous,17.0,6,27,1.0,NA,NA,NA,NA,NA
Actinemys marmorata,Testudines,Lamprophiidae,Actinemys,Nearctic,Arboreal/Saxicolous/Terrestrial,NA,NA,990,Omnivorous,Cathemeral,ACT,50.0,1816.0,NA,NA,NA,8.3,oviparous,4.0,5,13,1.0,NA,NA,25.5,21.8,27.0
Actinemys pallida,Testudines,Emydidae,Actinemys,Nearctic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acutotyphlops banaorum,Squamata,Typhlopidae,Acutotyphlops,Oriental,Fossorial,Forest/Grassland/Shrubland,NA,NA,Carnivorous,Nocturnal,ACT,NA,20.1,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acutotyphlops infralabialis,Squamata,Typhlopidae,Acutotyphlops,Australo-Pacific,Fossorial,Forest,10,250,Carnivorous,Nocturnal,NA,NA,30.3,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acutotyphlops kunuaensis,Squamata,Typhlopidae,Acutotyphlops,Australo-Pacific,Fossorial,Forest,0,920,Carnivorous,NA,NA,NA,30.6,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acutotyphlops solomonis,Squamata,Typhlopidae,Acutotyphlops,Australo-Pacific,Fossorial,NA,0,915,Carnivorous,Nocturnal,ACT,NA,61.1,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acutotyphlops subocularis,Squamata,Typhlopidae,Acutotyphlops,Australo-Pacific,Fossorial,Forest,20,1070,Carnivorous,Nocturnal,ACT,NA,37.4,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adelphicos daryi,Squamata,Colubridae,Adelphicos,Neotropic,Fossorial,Forest,1830,2140,Carnivorous,NA,ACT,NA,41.3,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adelphicos ibarrorum,Squamata,Colubridae,Adelphicos,Neotropic,Fossorial,Forest,2000,2100,Carnivorous,Diurnal,ACT,NA,32.3,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adelphicos latifasciatum,Squamata,Colubridae,Adelphicos,Neotropic,Fossorial,Forest,NA,NA,Carnivorous,Diurnal,ACT,NA,20.7,NA,NA,NA,NA,oviparous,NA,2,10,NA,No,No,NA,NA,NA
Adelphicos newmanorum,Squamata,Colubridae,Adelphicos,Neotropic,NA,Forest/Grassland,NA,NA,Carnivorous,NA,ACT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adelphicos nigrilatum,Squamata,Colubridae,Adelphicos,Neotropic,Fossorial,Forest,NA,NA,NA,NA,NA,NA,22.4,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adelphicos quadrivirgatum,Squamata,Colubridae,Adelphicos,Neotropic,Fossorial/Terrestrial,Forest,0,1900,Carnivorous,Diurnal,ACT,NA,15.5,NA,NA,NA,NA,oviparous,3.0,NA,NA,NA,NA,NA,NA,NA,NA
Adelphicos sargii,Squamata,Colubridae,Adelphicos,Neotropic,Fossorial,Forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adelphicos veraepacis,Squamata,Colubridae,Adelphicos,Neotropic,Fossorial,Forest,1200,2200,NA,Nocturnal,NA,NA,23.7,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adelphicos visoninum,Squamata,Colubridae,Adelphicos,Neotropic,Fossorial,Forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adelphostigma occipitalis,Squamata,Colubridae,Adelphostigma,Neotropic,Fossorial/Terrestrial,Forest,NA,NA,Carnivorous,Nocturnal,ACT,NA,40.5,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adelphostigma quadriocellata,Squamata,Colubridae,Adelphostigma,Neotropic,Terrestrial,NA,NA,NA,NA,NA,NA,NA,37.0,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA
